,Unnamed: 0,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_sigma5d_max,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,radial_velocity,radial_velocity_error,l,b,fidelity_v2,X,Y,Z,v_a_lsr,v_d_lsr,U,V,W,mag_abs_g,bp_rp,g_rp,region,cluster_label_group_0,cluster_label_group_1,cluster_label_group_2,cluster_label_group_3,cluster_label_group_4,cluster_label_group_5,cluster_label_group_6,cluster_label_group_7,cluster_label_group_8,cluster_label_group_9
46890,46890,3017503971876402304,89.55953231478969,0.105039105,-8.949943262335982,0.11038655,4.979965649734372,0.12849428,5.4007196,-4.609070797836971,0.12212897,-2.815002812524668,0.11822924,-0.0320498,0.06118977,-0.3486711,0.16421899,-0.18954615,0.13167268,-0.70958114,0.07369403,0.26011384,0.06534545,0.18748045,0.9785514,967.3656353579536,1.2817503,18.22339,142.7832109572648,8.534755,19.951849,1295.8375719519174,13.2607565,16.966518,,,215.0072211363772,-15.85394218466627,1.0,-158.21854336241037,-110.81555948297996,-54.85700376953088,-3.663065593415651,1.7328853883693849,,,,11.709521735703945,2.985330999999998,1.2568719999999978,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
52282,52282,3022660750129931520,89.5507285244273,0.09064998,-4.866312829225572,0.0980654,4.482756799982623,0.118255,6.440605,-4.179664409850105,0.10844102,-4.900183822926636,0.10484314,-0.06887179,0.1488413,-0.18883863,0.16105463,-0.37299418,0.16681142,-0.43625742,-0.06066634,0.1469939,-0.04204762,0.1617754,0.970621,1459.8883048509676,2.1122782,17.776567,248.3380145003113,8.463079,19.350935,1852.6890709258728,11.356384,16.578388,,,211.21352608180683,-14.052857348913662,1.0,-185.0750263833669,-112.14517005813454,-54.16686694676362,-3.698154209797037,0.4642877302432001,,,,11.034292890078936,2.7725469999999994,1.1981789999999997,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
52457,52457,3022717684217830656,88.96018676909726,0.05443141,-4.661704399223614,0.04942167,4.624893949550959,0.06648842,5.6250787,-2.07577451318571,0.066224545,-5.22806562797896,0.053030647,-0.091844626,-0.06177683,-0.3836676,0.17082317,-0.17284843,0.19233474,-0.77617073,-0.06038536,0.2855305,-0.02786848,0.09669484,1.0291288,3719.9299652802792,2.5452683,16.76103,722.0629744361885,9.640885,18.192104,4597.170036079255,12.297918,15.591669,,,210.7512603094584,-14.48586093668814,1.0,-179.91211104958197,-107.04184035509324,-54.08579160334437,-1.576794651316253,0.3480454988944365,,,,10.0865388933181,2.600435000000001,1.169361000000002,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
53051,53051,3022932265079296128,88.55461800866084,0.015865415,-4.317694313115167,0.014394685,4.633828186486551,0.020189852,6.560229,-4.849618378208158,0.018196736,-4.417895512416182,0.015160465,-0.15692773,-0.010678401,-0.19598387,0.3160953,-0.30007938,0.37944776,-0.75539255,-0.13898087,0.3935745,-0.17838126,0.028594524,1.3332496,1918416.6470582264,319.5981,9.980009,1142842.9614799223,253.48195,10.193576,1131665.1195649805,254.09482,9.613601,-6.5394382,0.91912395,210.2452859242623,-14.690927218360642,1.0,-180.33361305630964,-105.14759609038336,-54.72899100401417,-4.527808617881435,1.2895513561079694,7.779818067950232,2.4731386064960166,-4.600275805922973,3.3097086347059843,0.579975000000001,0.3664080000000016,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
55105,55105,3023628633896481152,87.03217186444567,0.015882485,-4.431919009468889,0.014637423,4.837738997932242,0.01635486,3.323983,-2.508317163496343,0.01950387,-2.181102337112556,0.016383043,-0.4572071,-0.025032775,-0.50614506,0.46595314,-0.1660696,0.48846176,-0.7557958,-0.014908139,0.18093738,-0.47253957,0.03373066,1.203186,1019623.7887905536,534.5346,10.666267,569419.3759902929,859.432,10.949962,646526.2009164598,707.8773,10.22143,19.939499,1.3125477,209.63718997428623,-16.095810416436795,1.0,-172.62237082462525,-98.21143799040811,-57.308665239140815,-2.465448688669664,3.6373755052641576,-15.499549474402038,-9.726807134361067,-8.56421841904402,4.08947916963791,0.7285319999999995,0.4448369999999997,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
55300,55300,3023698379870240512,86.60775431452801,0.16180016,-4.148587519637887,0.16256022,4.59724449820163,0.1608724,5.400209,-3.888918421442468,0.19174255,-3.74680825557194,0.17202868,-0.58611447,-0.19257836,-0.6364064,0.57255816,0.09888081,0.5975063,-0.83709276,0.24579199,-0.018514661,-0.5507123,0.36238375,1.1258014,1065.4613892692385,1.5434566,18.118523,165.50458024271367,9.120925,19.791517,1435.2337441071115,11.748662,16.855589,,,209.17404909407185,-16.34407508579286,1.0,-182.25230956323955,-101.74909273143838,-61.21165131044042,-4.140587280850895,1.995587886960512,,,,11.431011008632035,2.9359280000000005,1.2629340000000011,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
55856,55856,3023912582773681152,86.49393942442838,0.17836472,-3.816703790719318,0.17206426,4.910700592028543,0.24955949,2.9208863,-2.65199429582423,0.20719418,-1.2241334112705162,0.20026606,-0.010211565,-0.15979761,-0.22013395,-0.008932546,-0.35796225,0.1114682,-0.72404987,-0.080935374,0.4434301,-0.09559073,0.32733122,1.0051185,557.4007991185772,1.1441466,18.821947,66.09661081657819,6.598303,20.788094,789.5309279858885,7.5292745,17.504473,,,208.81232597827656,-16.293826502196538,1.0,-171.26084899949925,-94.19945403559136,-57.13304056153396,-2.723542583849615,4.776202046549904,,,,12.277664278890768,3.283621,1.3174740000000007,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
55965,55965,3023950412845953024,86.96630019513529,0.24446186,-3.423797758349339,0.2286566,4.455690495950563,0.29601184,4.975919,-4.0698571038142815,0.30308804,-2.862871184434732,0.25054145,-0.078761294,-0.11961007,-0.39124784,0.127696,-0.26583648,0.17064199,-0.75902086,0.07541595,0.28858513,-0.04866777,0.44230562,1.0713204,472.0018454989911,1.1239314,19.002508,83.1691971059492,13.546187,20.538635,644.6609602192894,9.731833,17.724567,,,208.67299744010785,-15.694935042740378,1.0,-189.56884571170045,-103.66984584264203,-60.712320263720045,-4.356623162608378,3.02865752687694,,,,12.247083079848636,2.814067999999999,1.2779409999999984,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
56454,56454,3024139112233211136,87.22950968546705,0.08236825,-2.795529763825546,0.08358833,4.874004742832203,0.10565735,7.488455,-3.4240079996590014,0.098068185,-6.659814094163124,0.09155581,-0.21651132,0.14327909,-0.33571208,0.29345056,-0.41700563,0.22735184,-0.76436174,0.034905545,0.43879128,-0.11772524,0.1582384,1.0561665,1628.4706983138713,1.6939921,17.657917,250.8309428922928,6.635686,19.34009,2127.5078012699864,10.252291,16.428217,,,208.21892432757497,-15.17319040794252,1.0,-174.48273417712733,-93.63105555219042,-53.70072099753155,-3.280597840802525,-0.2169032215035896,,,,11.09734673727682,2.911873,1.2297000000000011,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
57845,57845,3025450730822767360,89.43555343817134,0.02915629,-2.5912868021783737,0.026086088,4.754580075468137,0.035310905,6.12744,-5.789433987877483,0.035420787,-2.006981418072323,0.032721482,-0.08543589,-0.08423112,-0.16456717,0.10739569,-0.2116783,0.16865979,-0.4946724,0.03959603,0.18800075,-0.2612777,0.054693274,1.140682,12072.3626933702,6.5227013,15.482886,3047.971264953311,10.458718,16.628515,13500.297447265386,21.259697,14.422037,-2.19966,5.2883983,209.07475885966,-13.121609691636833,1.0,-179.02042090735847,-99.53823846950633,-47.74735059797374,-5.083788637392567,4.320353242535185,2.651444766602064,2.46489634771982,-5.390328610915804,8.86844683038371,2.2064780000000006,1.060849000000001,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
