ra,dec,parallax,pmra,pmdec,radial_velocity,radial_velocity_error,X,Y,Z,v_a_lsr,v_d_lsr,distance,SigMA_label,labels_final,ra_scaled,dec_scaled,parallax_scaled,pmra_scaled,pmdec_scaled,cluster_label
179.40400028313758,-64.7590906990845,2.149054881084434,-3.961618045235214,-8.81200916361237,,,212.72825266678825,-413.3560671288365,-20.172424045125787,7.845189192149324,-15.805009021017856,465.3208295431666,0,0,1.4573781044583751,-2.9143633726555263,0.7563777798570939,1.0067763821398834,-2.9858083637956643,0
179.38915496961266,-64.74049679827915,2.13920003872625,-3.892812955471487,-7.738171447861247,,,213.63804876968916,-415.30311989891936,-20.127792848545933,7.95757950349002,-13.516831935727838,467.46446423749734,0,0,1.4553281130311007,-2.9048546354150657,0.6575056497086595,1.0175628648349615,-2.6912523199029947,0
179.3801906351247,-64.74604572335588,2.126561018341596,-3.9908466420393904,-8.0633192982841,-12.108356,1.259547,214.8878792140616,-417.7792004402462,-20.29843888694206,7.687880294646496,-14.34649754962497,470.2427964093184,0,0,1.4540902268240705,-2.907692300898707,0.5307002861117001,1.0021942537724577,-2.780441089393894,0
179.66407658468017,-64.73080123844865,2.0458321902964904,-3.958090697597693,-8.499720466635534,,,224.24930034742255,-433.8264458072141,-20.76006657866483,7.4091963400714445,-15.991048700763256,488.7986437710103,0,0,1.4932920774239682,-2.899896421870066,-0.2792397315059107,1.0073293597521837,-2.9001468883374746,0
179.35010927852673,-64.60301028482228,2.1233960376980594,-4.214012652419322,-8.54393354430453,-8.278706,1.8507932,214.92044017497284,-418.6030038331998,-19.201669424105603,7.17675400263914,-15.438869003684172,470.9437063300186,0,0,1.4499362880714037,-2.8345453902354385,0.4989465180927575,0.9672088142161855,-2.9122746326469477,0
179.88387775104047,-64.71646163553017,2.108843133417395,-4.87190250554667,-9.091014124459871,,,218.20846576901712,-420.5353379121907,-19.867121578796176,5.626058045352073,-16.672713155168747,474.19363922981455,0,0,1.5236444513221208,-2.8925632905539507,0.3529394493058443,0.8640722942233486,-3.062340037332745,0
179.83862508358928,-64.71123360095086,2.0911252385679995,-4.096439066877167,-8.642879792958112,-1.3745738,12.605438,219.909456726598,-424.1756768972304,-20.025035143336428,7.291842168483815,-15.841252506792747,478.2114344738142,0,0,1.5173955041253806,-2.8898897253016096,0.1751785129220223,0.9856406693333533,-2.9394158059675677,0
179.93437171043945,-64.65092124099101,1.9403112772485087,-4.004843403731432,-8.419696486295948,,,237.23784042712117,-457.0514036154022,-20.97682145147797,6.792453619530783,-16.78746919112226,515.3812234798053,0,0,1.5306171692592205,-2.8590465800566096,-1.3379149562392192,1.0,-2.878196134774227,0
179.90499698685446,-64.66758347501036,2.1324356619399216,-4.130504044839421,-8.615399379580792,-8.8884115,5.0985594,215.79535134422085,-415.9011267569368,-19.24091963755246,7.395071073973466,-15.3786301007853,468.9473252807445,0,0,1.5265608095584486,-2.8675674819796497,0.5896396892313216,0.9803003479042287,-2.931877868223133,0
179.8126708811858,-64.6875449904918,2.1169190589854963,-4.3762206195248625,-8.657225514247937,-2.612774,5.226719,217.11889250419475,-419.0729416755962,-19.60823660560657,6.778834545165754,-15.638930148178048,472.3846175201597,0,0,1.5138114846744213,-2.8777756038590496,0.43396397865057446,0.9417796862810879,-2.9433508688247723,0
179.7154846334539,-64.5934344128105,2.039230720714938,-4.451386329768273,-8.556881611447318,-9.826313,4.725024,224.94961217986443,-435.29933700529506,-19.63884715224364,6.232089533798343,-16.1596835815382,490.3809999730722,0,0,1.5003910220910643,-2.82964838385891,-0.3454712688471618,0.9299960575468189,-2.9158263159019633,0
179.6793695515309,-64.58117171655711,2.0329884995338534,-4.814469263863458,-8.93968110611716,-1.2633958,2.37663,225.50698262881855,-436.7082070536397,-19.62310614750621,5.354171136539382,-17.12150367679875,491.8866979470328,0,0,1.4954038853618037,-2.823377362100015,-0.40809852178530304,0.8730760273725319,-3.0208290580297077,0
179.95980582423837,-64.62201107941188,2.1356083505345547,-3.9818069017634015,-8.39690873090553,,,215.58326878557617,-415.2453851639197,-18.809473624968792,7.737983447253892,-14.84605324765861,468.2506508038773,0,0,1.5341293696018141,-2.844262208938729,0.6214707899478652,1.003611401869928,-2.87194540342205,0
179.87202049788525,-64.60735965671857,2.151380684059974,-4.209654794619545,-8.554916345074957,,,213.71718011096084,-412.3517680100539,-18.61606181254881,7.301996292834581,-15.078971206481745,464.8177830214836,0,0,1.5220070815704856,-2.836769616069269,0.77971220633894,0.9678919898054672,-2.9152872390197238,0
179.68401148334968,-64.5456920918914,2.1051181934216583,-4.848590619279933,-8.69214888207068,-5.6178493,2.630543,217.74682067805975,-421.7750792538334,-18.6595831532607,5.661928441148876,-15.84487872786134,475.0327098615781,0,0,1.4960448903778665,-2.805233432438979,0.31556769452097383,0.8677268677246588,-2.952930425320495,0
179.77200310724498,-64.51537784881774,2.1431275408557733,-4.08353082491729,-8.696429511601705,-10.962375,3.8347065,214.1141534617789,-414.1896482737104,-18.02475609510717,7.546651142246888,-15.481006475401502,466.6077874211301,0,0,1.5081956660657354,-2.789731027911357,0.6969096794835248,0.9876642773106442,-2.954104611402372,0
179.72952804013516,-64.4961728982002,2.1546449345781498,-4.690675488710784,-8.58813654185076,-3.163186,5.235743,212.8150249676849,-412.0608400283875,-17.806052661100814,6.259722393776128,-15.148990693035948,464.1135919667369,0,0,1.5023302780897996,-2.7799098058316045,0.8124619338677768,0.8924830133677256,-2.9243996119566087,0
179.59547874173558,-64.61530128088788,2.0311551352154766,-4.241339125021009,-8.637924050301882,-10.909639,12.207852,225.48813755757743,-437.20130101863487,-19.99064920823372,6.682747955938891,-16.461602913248278,492.3306854618538,0,0,1.4838193916682967,-2.840830884238814,-0.4264923863351008,0.9629248793379986,-2.938056434872702,0
179.63455999364356,-64.60347803017689,2.1164220366339177,-4.172066684154313,-8.693277844610776,-3.5528057,11.684584,216.50845879981225,-419.5387774136427,-19.06171188203141,7.236206880085062,-15.761910131615162,472.495552725608,0,0,1.4892161272269,-2.8347845905903837,0.4289774292116434,0.9737846280458383,-2.953240102224776,0
179.64537784432156,-64.59770879825537,2.110086071756503,-4.119662551054955,-8.494929608349183,-17.315796,6.9058948,217.1843301463279,-420.7877057658443,-19.064456297573244,7.325735926653531,-15.371333677115125,473.9143172333099,0,0,1.4907099657446385,-2.831834262362041,0.36540966006763104,0.9819999545103172,-2.898832745387401,0
179.52517639426904,-64.56494112243699,1.971185326311554,-4.7001121288549035,-8.45326014317786,,,232.04164417036947,-450.6776268748775,-20.217425609229256,5.27918910978034,-16.643867503162088,507.308971232645,0,0,1.474111330644069,-2.815077196558613,-1.0281603314343328,0.8910036438041693,-2.887402719572557,0
179.5834204758737,-64.53928019459723,2.1089330504643695,-4.030559548787736,-8.477688791118128,-15.583902,9.716287,217.03159829719888,-421.17694195743513,-18.64678114685789,7.521762459555243,-15.353011960218788,474.17342137997616,0,0,1.4821542640438017,-2.8019544514859573,0.35384157332243293,0.9959685140360042,-2.8941035513550384,0
179.21361902592673,-64.6840650958067,2.088696392416111,-4.339413868621058,-8.697430129646339,-2.1091545,5.3020873,218.1774685379108,-425.6823633392369,-20.284469839879165,6.737387897483569,-16.14848652798975,478.7675239115267,0,0,1.4310883299419297,-2.8759960200841603,0.15081026996980182,0.9475498318190018,-2.954379083129665,0
178.25463202493435,-64.03153615717534,2.126353590585684,-3.835535893329954,-9.080305464562963,,,210.3853237091465,-420.32252433294775,-15.440962487715062,8.043269680019659,-16.8325313941078,470.2886690282586,0,0,1.2986616804405542,-2.5422991651746485,0.5286191950771076,1.026542113924471,-3.0594026284036704,0
